listingId,name,price,numBeds,numBath,squareFootage,homeType,location,sellerName,sellerAgency
R2307754,1098 Wolfe Avenue,12980000,5,6,5766,House,Featured ListingShaughnessy,Wilson Faith,Faith Wilson Group
R2328661,107-3162 Riverwalk Avenue,1380000,2,2,1097,Apt/Condo,Champlain Heights,Glen Hao,LeHomes Realty First
R2328689,703-1171 Jervis Street,1948900,2,2,1345,Apt/Condo,West End,Iman Moyed,RE/MAX Crest Realty
R2328601,708-2528 Maple Street,1129000,2,2,865,Apt/Condo,Kitsilano,Lance Phillips,Royal LePage Sussex
R2328429,1770 W 62nd Avenue,5388000,5,6,4633,House,South Granville,Elaine Wu,LeHomes Realty Premier
R2328569,7488 Cartier Street,5388000,7,8,5652,House,South Granville,Albert Yen,Sutton Group-West Coast Realty
R2328565,603-4408 Cambie Street,1398000,2,2,1047,Apt/Condo,Cambie,Carole Lieberman,Dexter Realty
R2328358,2207-1111 Alberni Street,1050000,1,1,590,Apt/Condo,West End,Mike Marfori,Sutton Premier Realty
R2328365,1705-212 Davie Street,1398000,3,1,1236,Apt/Condo,Yaletown,Ken Cui,Nu Stream Realty Inc.
R2328449,1033 E 40th Avenue,1680000,3,2,2581,House,Fraser East,Manyee Lui,Macdonald Realty - Manyee Lui
R2328435,109-1345 W 4th Avenue,498000,1,1,560,Apt/Condo,False Creek,Vince Chan,RE/MAX Central [Bby Hst]
R2328315,804-6026 Tisdall Street,520000,1,1,693,Apt/Condo,Oakridge,Candice Charron,Blu Realty
R2328169,491 E 63rd Avenue,1500000,6,4,2704,House,South Vancouver,Rimpy Hothi,Sutton Group-West Coast Realty
R2328088,906-888 Homer Street,799900,1,1,684,Apt/Condo,Downtown West,Fraser Elliott Group,RE/MAX Progroup Realty
R2327974,120-2083 W 33rd Avenue,699000,1,1,632,Apt/Condo,Quilchena,Claire Gong,Nu Stream Realty Inc.
R2328073,315-5981 Gray Avenue,1180000,3,2,985,Apt/Condo,University (Ubc),Elaine Wu,LeHomes Realty Premier
R2327816,PH6-1838 Renfrew Street,660000,2,2,793,Apt/Condo,Renfrew,Benson Lee,Nu Stream Realty Inc.
R2327998,220-1783 Manitoba Street,825000,1,1,685,Apt/Condo,False Creek,Real Estate Team Kanavero,RE/MAX Masters Realty
R2327989,319 W 59th Avenue,1548000,3,3,1536,Townhouse,South Cambie,Roland Kym,KellerWilliamsRealtyVanCentral
R2327706,2407-928 Richards Street,688000,1,1,607,Apt/Condo,Yaletown,Ken Cui,Nu Stream Realty Inc.
R2327864,412-2520 Manitoba Street,749900,1,1,837,Apt/Condo,Mount Pleasant West,Mike Rampf,Engel & Volkers Vancouver
R2325179,4497 Victoria Drive,998800,4,3,1160,Duplex,Featured ListingVictoria East,Rajiv Pandey,Homeland Realty
R2327775,3039 E 23rd Avenue,2388000,5,5,3396,House,Renfrew Heights,Denise Lo,RE/MAX City Realty
R2327843,4258 Ontario Street,1688000,4,2,1587,House,Main,Christopher Sheppard,Royal LePage West R.E.S.
